day_number,Ob,Yenisey,Lena,Kolyma,Yukon,Mackenzie
233,11.06811538,6.68496,9.585115385,4.863923077,6.329772727,4.80896
234,11.02180769,6.70788,9.532269231,4.861115385,6.365181818,4.807538462
235,11.07107692,6.70128,9.561846154,4.892423077,6.324434783,4.814461538
236,11.00473077,6.72192,9.610807692,4.897692308,6.286826087,4.818884615
237,10.9885,6.7305,9.717538462,4.903769231,6.318565217,4.819076923
238,10.92534615,6.730884615,9.854730769,4.884038462,6.445,4.825923077
239,10.97034615,6.777192308,9.927230769,4.908307692,6.477086957,4.835961538
240,10.99357692,6.875538462,9.916653846,4.898269231,6.432217391,4.848076923
241,10.94276923,6.797115385,9.919692308,4.910153846,6.459818182,4.860153846
242,10.93626923,6.83728,9.931307692,4.9405,6.470086957,4.856615385
243,10.92526923,6.932576923,9.937423077,4.982076923,6.496521739,4.858884615
244,10.93615385,6.944384615,9.962269231,4.977115385,6.527130435,4.857192308
245,10.86642308,6.959769231,10.06142308,5.001192308,6.504782609,4.851692308
246,10.77842308,6.990846154,10.14061538,5.027692308,6.555181818,4.853961538
247,10.75423077,6.969230769,10.16338462,5.063115385,6.748666667,4.857115385
248,10.73792308,6.978769231,10.23076,5.240692308,6.78175,4.856846154
249,10.75380769,7.005576923,10.26124,5.132153846,6.930666667,4.863269231
250,10.73319231,7.036307692,10.22368,5.144269231,6.90668,4.873961538
251,10.77942308,7.070846154,10.36784615,5.2504,6.9164,4.873653846
252,10.66542308,7.10396,10.45453846,5.24572,6.972541667,4.882653846
253,10.72046154,7.05696,10.27876923,5.27504,7.012521739,4.887884615
254,10.71561538,6.951166667,10.211,5.3186,7.136708333,4.911076923
255,10.75680769,6.92192,10.24169231,5.33096,7.230083333,4.933576923
256,10.74184615,6.993076923,10.31926923,5.41392,7.3072,4.941692308
257,10.71107692,7.118115385,10.40824,5.36536,7.3946,4.961615385
258,10.732,7.03848,10.32976,5.31128,7.492375,4.98812
259,10.74473077,6.935307692,10.23211538,5.301125,7.60264,5.01384
260,10.73461538,6.89948,10.177,5.418583333,7.65092,5.007038462
261,10.65465385,6.85156,10.12588462,5.42064,7.6682,5.024346154
262,10.62157692,6.85604,10.19226923,5.41392,7.72276,5.037923077
263,10.65803846,6.869807692,10.21338462,5.3814,7.77908,5.053115385
264,10.64346154,6.892807692,10.23292308,5.308,7.85312,5.066125
265,10.64630769,6.924576923,10.25380769,5.31348,7.92636,5.078565217
266,10.61626923,6.914923077,10.29944,5.275653846,7.95092,5.060791667
267,10.59138462,6.911538462,10.3004,5.2688,8.00636,5.05876
268,10.56326923,6.8625,10.27652,5.22832,8.05692,5.07488
269,10.60915385,6.898192308,9.9944,5.14688,8.09256,5.08996
270,10.55156,6.883,9.99436,5.058,8.16308,5.09368
271,10.47012,6.88348,9.94432,5.09444,8.19556,5.0526
272,10.51816,6.88372,9.5826,4.95232,8.299115385,4.97752
273,10.51528,6.775083333,9.66984,4.9278,8.332846154,4.9735
274,10.49928,6.792208333,9.364269231,4.888230769,8.381423077,4.984384615
275,10.47076,6.875956522,9.328884615,4.822,8.521,4.970423077
276,10.46291667,7.037791667,9.389846154,4.726461538,8.54936,4.967615385
277,10.43029167,7.101826087,9.30273913,4.667307692,8.69152,4.957038462
278,10.37295833,7.1076,9.242086957,4.590653846,8.79952,4.918730769
279,10.371,7.248166667,9.23426087,4.561269231,8.89208,4.922692308
280,10.33870833,7.289695652,9.145363636,4.512615385,8.906846154,4.927730769
281,10.32492,7.236173913,9.148333333,4.371653846,8.929884615,4.8998
282,10.23332,7.156173913,8.518157895,4.21956,8.98488,4.8458
283,10.213,7.240391304,8.497736842,4.17532,8.961041667,4.79788
284,10.19184,7.415333333,8.332578947,4.0764,9.008791667,4.75724
285,10.12952,7.236869565,8.330578947,3.98224,9.045958333,4.742375
286,10.092625,7.258782609,8.198368421,3.959083333,9.004208333,4.64375
287,10.13833333,7.161869565,8.123055556,3.845083333,9.124347826,4.5702
288,10.09344,7.037043478,7.761777778,3.701833333,8.77225,4.50336
289,10.045,6.979,7.4115625,3.622541667,8.61988,4.48144
290,10.00132,6.944681818,7.477333333,3.585565217,8.62104,4.431913043
291,9.930625,7.062578947,7.696,3.598045455,8.227038462,4.433217391
292,9.938916667,7.175117647,7.5435,3.62052381,8.215307692,4.398571429
293,9.850083333,6.985647059,6.861,3.662619048,8.164,4.415857143
294,9.749208333,6.886875,6.8418,3.442277778,7.987576923,4.409333333
295,9.641954545,6.7261875,6.335,3.498357143,7.878576923,4.45475
296,9.697142857,6.88975,,3.437384615,7.735846154,4.43355
297,9.63447619,6.319733333,,3.479538462,7.598961538,4.402166667
298,9.637055556,6.476384615,,3.477181818,7.476461538,4.359117647
