day_number,Ob,Yenisey,Lena,Kolyma,Yukon,Mackenzie
262,1.092384,1.6768512,2.4644736,0.481638528,0.981759744,0.986827569
263,1.075464,1.6737408,2.4665472,0.482122368,0.974325888,0.979174523
264,1.059696,1.6689024,2.47104,0.483290496,0.968848128,0.972322338
265,1.047456,1.6737408,2.4700032,0.483508224,0.961600896,0.966992123
266,1.040148,1.6740864,2.4582528,0.479129472,0.955628928,0.963639138
267,1.029096,1.6785792,2.4268032,0.474204672,0.949753728,0.957501415
268,1.027152,1.6775424,2.4240384,0.472120704,0.9441792,0.952659692
269,1.018332,1.6758144,2.415744,0.458224128,0.938203776,0.948073846
270,1.007604,1.6733952,2.4064128,0.447420672,0.931557888,0.944411815
271,1.001664,1.664064,2.4012288,0.436361472,0.923923584,0.938277415
272,0.989856,1.6581888,2.3939712,0.425696256,0.917367552,0.932584985
273,0.9833148,1.6509312,2.3721984,0.41637888,0.910410624,0.925211077
274,0.9822852,1.6460928,2.3511168,0.408461184,0.90376128,0.918717785
275,0.970848,1.6371072,2.3303808,0.403443072,0.894661632,0.909197169
276,0.961272,1.6270848,2.3079168,0.39733632,0.885164544,0.902364923
277,0.957996,1.613952,2.2754304,0.386059392,0.876845952,0.895353231
278,0.957492,1.6056576,2.236985856,0.371668608,0.868534272,0.886500554
279,0.951696,1.5977088,2.1990528,0.350960256,0.8585568,0.883366892
280,0.945972,1.5901056,2.1624192,0.339572736,0.847297152,0.885108185
281,0.944136,1.5887232,2.1147264,0.32923584,0.823374,0.883356923
282,0.937692,1.579392,2.061504,0.321743232,0.8123616,0.880103631
283,0.937548,1.5710976,2.006208,0.309802752,0.8006364,0.874318154
284,0.941724,1.5617664,1.93701888,0.292578048,0.7889184,0.872955692
285,0.944892,1.5583104,1.8994176,0.280291968,0.7759728,0.868220308
286,0.93978,1.5503616,1.82981376,0.262856448,0.764352,0.862258708
287,0.929484,1.5420672,1.759819392,0.250449408,0.7525296,0.853276431
288,0.922032,1.5265152,1.678776192,0.238830336,0.7387668,0.844290831
289,0.908856,1.5113088,1.622388096,0.226796544,0.7255152,0.836388554
290,0.90144,1.491264,1.554156288,0.21387456,0.7120548,0.829117662
291,0.902772,1.4777856,1.483795584,0.203188608,0.6996132,0.819098585
